y,yhat
0,0.342785
0,0.458206
0,0.106407
0,0.100932
0,0.496989
1,0.654048
0,0.307195
0,0.229673
0,0.462884
0,0.157315
0,0.153232
0,0.126202
1,0.91259
0,0.225826
0,0.794884
0,0.315245
1,0.768204
0,0.141542
0,0.361874
0,0.238068
1,0.778585
0,0.505004
1,0.691877
0,0.184867
0,0.344643
0,0.555554
0,0.620659
0,0.332611
0,0.465558
1,0.872395
0,0.283803
0,0.180278
0,0.36069
0,0.261749
0,0.370946
0,0.174631
0,0.365636
1,0.822124
1,0.973922
0,0.541189
0,0.333501
0,0.116058
0,0.282703
0,0.320245
0,0.372788
1,0.726922
0,0.306852
0,0.163416
0,0.112917
0,0.291996
0,0.391132
0,0.21202
0,0.175917
1,0.532178
0,0.185009
0,0.287222
0,0.244078
0,0.100391
0,0.507085
1,0.814374
1,0.700333
1,0.369889
0,0.123636
0,0.212609
0,0.017791
0,0.212669
1,0.641437
0,0.229232
0,0.238286
0,0.439111
0,0.324077
0,0.156357
0,0.392207
0,0.232706
1,0.58213
1,0.763799
0,0.117571
0,0.175867
0,0.228541
0,0.477153
0,0.201328
0,0.105062
0,0.136855
0,0.070344
0,0.329561
0,0.221023
1,0.399556
1,0.740023
0,0.250606
1,0.67613
0,0.05747
1,0.727169
1,0.833529
0,0.262737
0,0.18811
0,0.54912
0,0.144146
0,0.286809
0,0.174212
0,0.163499
1,0.887359
1,0.839923
0,0.140958
0,0.194273
0,0.370661
0,0.267142
1,0.670035
0,0.172539
0,0.274585
0,0.180977
0,0.391328
0,0.379266
1,0.795314
0,0.352615
0,0.193687
0,0.268258
1,0.955079
1,0.557264
0,0.124778
0,0.250796
0,0.285786
0,0.262109
1,0.561131
0,0.216642
0,0.280608
0,0.346637
0,0.294286
0,0.311448
1,0.507402
0,0.104117
0,0.197085
0,0.386842
0,0.289465
0,0.25555
0,0.224411
1,0.529444
0,0.570592
0,0.256654
0,0.083333
0,0.755934
1,0.604241
1,0.793334
0,0.234685
0,0.56871
0,0.443644
0,0.27425
0,0.314706
0,0.116415
0,0.464878
0,0.430906
1,0.679986
0,0.097061
0,0.166674
1,0.878154
0,0.39324
0,0.260101
0,0.449377
0,0.074817
1,0.835059
1,0.673806
0,0.394767
0,0.151208
0,0.251066
0,0.214989
0,0.464802
1,0.732212
0,0.108588
1,0.34809
0,0.109522
